Frequency (MHz),Ideal CaVal (pf),Middle CsVal (pf),Middle CpVal (pf),MaxI
19.0,380.12754816184685,258.9578555387216,959.8267638921718,0.7004063759658204
19.5,360.0853379820137,245.19449833770832,912.2307287166531,0.6827973693464018
20.0,341.677457920447,232.27399206002622,867.3194650553205,0.6670560516727756
20.5,324.5865521765872,220.3146616389301,825.7750638329608,0.6517837396538324
21.0,308.5679823416733,209.30551515381435,787.5143723680227,0.637237056370358
21.5,293.77933629421574,199.14205253369653,752.1961557341081,0.623684248773098
22.0,279.8815205182009,189.45579929078127,718.4293374674437,0.6097255675892631
22.5,266.94884015601895,180.49443774530025,687.1035492091739,0.5970021264136738
23.0,254.86896864408848,172.07712983456358,657.5914687801613,0.5847199866996279
23.5,243.56583772645106,164.31664534736623,630.5426048461263,0.5730560399881974
24.0,232.82791220381705,156.9589066607122,604.703084503843,0.5606848338727395
24.5,222.86753171628436,149.9998938316764,580.0196367043394,0.5499692551761937
25.0,213.45509912874698,143.48918436642992,557.5086124137597,0.5390375051211079
25.5,204.57459347888226,137.41146758861672,535.780469238628,0.5287393346867384
26.0,196.06006419278302,131.43426858752264,514.4756615081868,0.5200908945845051
26.5,188.26847042025426,126.28577182932433,496.46614945967906,0.5097811369897506
27.0,180.92978156442916,120.98044516575236,477.4385666419931,0.4997792731569985
27.5,173.82838222570896,116.18169680752862,460.3512639848842,0.49029124271520536
28.0,167.11154989101945,111.44627536529998,443.29016581214023,0.48262434045845665
28.5,160.81802804270774,107.20069101636993,428.09107764028255,0.47305215319340593
29.0,154.8008140039992,102.99511395596069,412.96206880744336,0.46491673494737784
29.5,149.10675889803224,99.15021258453183,398.91089495810104,0.45641922030140847
30.0,143.67629018073833,95.40290923836767,385.4987664794498,0.4481715445585324
30.5,138.44359690585497,91.95139418619694,372.93456005313914,0.4411770401333561
31.0,133.60465514675218,88.45929625004491,360.18396677692266,0.4331629349940084
31.5,128.87532316653028,85.302533536332,348.57819578929326,0.42493130786811195
32.0,123.69602914568483,81.04353036575037,332.090814468109,0.42708258974903446
32.5,120.14953653981092,79.26869691986178,326.7491280827422,0.41033160379974715
33.0,116.04328079004584,76.53779472820334,316.23665963237687,0.4033212852088318
33.5,112.18334264515269,73.8335209134403,306.0920744470651,0.3965546057236579
34.0,108.42403854234264,71.30901735406117,296.6707616809685,0.38969112639943754
34.5,104.85127633228217,68.81181620527056,288.44080556999035,0.3831994924668954
35.0,101.41154932258894,66.565720571978,278.8314027081121,0.37633714769802423
35.5,97.78134754511329,64.80028547927553,272.5516440696864,0.37383291456820145
36.0,94.87137331696343,62.368052320588326,263.05332311133,0.36498228341189054
36.5,92.02365853200581,60.112014040351006,254.0436813049011,0.35741739969445324
37.0,89.05209806069608,58.15644904971153,245.6919905170799,0.3505037716618172
37.5,86.12884713401056,56.4387470483773,240.54994851350708,0.34551006521130584
38.0,83.59422213801265,54.377244710921715,231.26164138317108,0.3392992824539746
38.5,80.92744501013715,52.88466576952469,225.33995026373344,0.33207138888957105
39.0,78.41783019000478,51.444630920887334,215.34078992903213,0.32486344118764227
39.5,76.03669427010583,49.60374299902453,212.68689879798302,0.3199155865950183
40.5,72.31246535487594,45.67466139793392,179.64416027069132,400
41.0,69.94632922581616,44.33368988451542,191.82216680143048,0.30860619558205893
41.5,67.40700374661958,43.476166125765346,187.0273688185264,0.29740421606850753
42.0,67.85138650271763,38.82812499999986,164.06250000000023,0.32236845120573704
42.5,62.98504463569075,41.935620307922264,169.94394302368195,0.279965696495215
43.0,60.72353087333682,41.27579689025867,170.00049591064484,0.2731665074475327
43.5,59.93520345422057,37.94311523437484,175.46386718750009,0.27706706223973054
44.0,59.30336096915441,36.1500775814054,150.0585508346559,0.286488703006631
44.5,57.03556839121401,35.52143514156326,150.56097745895391,0.2733481805785557
45.0,53.5508477697441,36.430521011352454,154.12830352783186,0.25878038026318656
45.5,53.08815918691789,34.13595900441263,150.75273900116403,0.2535692748362806
46.0,51.54291627609128,33.11690395710073,146.46384317256576,0.24811798777727676
46.5,50.04137029321017,32.142925392900494,142.29911565005915,0.24227140558468246
47.0,48.586509355731096,31.208077114219165,138.34399655093588,0.2375252738208581
47.5,47.226611272291926,30.207150832320508,133.97640574674975,0.23311181431709274
48.0,45.8070881107145,29.422729697043938,130.65339482874077,0.22734471322398112
48.5,44.54964357969934,28.46265541938628,126.40709758235235,0.22251182647205348
49.0,43.22452813462835,27.671405888935748,122.99551645827475,0.21710003145832515
49.5,41.98560524068912,26.84353077981587,119.28416097904048,0.2076683348925096
50.0,40.721230083132134,26.11904581967963,116.12500923655799,0.20688555649773543
